"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_53580",1.1193,0.5485,-0.9881,-0.0604,-0.3813,1.0402,0.5888,-0.2026,-0.176,-1.4855,1.1656,0.9032,0.2442,0,0.723
"PA14_53590",0.788,-1.9471,-1.1315,-0.5232,-0.6682,0.1447,-2.6253,-0.8036,-0.0319,-1.512,-2.2991,1.2046,-1.4621,0,1.8193
"PA14_53600",0.8508,-1.0674,-1.1287,0.5187,-0.6051,-0.175,-2.0186,-0.8782,-0.7338,-1.6391,-1.5422,1.563,-1.5497,0,1.5703
"PA14_53610",0.5048,0.4044,-0.4954,0.6648,-0.1764,0.154,-0.3376,0.0291,-0.0336,-0.6368,-0.2328,0.8848,-0.3607,0,1.1219
"PA14_53620",-2.1964,-0.9195,-0.7624,-0.036,-0.1138,-0.848,0.0012,-2.1964,0.4716,0.3635,0.9633,-0.0412,-0.047,0,-1.2383
"PA14_53630",-0.2052,0.5558,-0.3748,-0.2186,0.5448,0.7482,0.8257,-0.9792,0.8138,0.3234,-0.094,0.613,0.3441,0,0.4132
"PA14_53650",-3.5848,-1.7773,-2.9156,-0.9165,-3.9441,1.2971,-3.9592,-2.1102,-1.5421,-2.685,-2.279,1.2565,-1.2446,0,-3.0983
"PA14_53660",-0.1613,1.1533,-0.9305,1.4832,-1.1662,2.1408,1.155,-0.8059,3.1198,-1.4026,4.4948,3.068,0.7151,0,2.2632
"PA14_53670",5.8051,0.4895,-1.0458,7.9757,-3.8818,4.6578,-9.9522,-5.7991,2.313,-8.3485,-5.4974,12.006,-5.0913,0,10.8267
"PA14_53720",-0.0713,1.2046,0.0612,0.201,-0.0508,0.8107,0.6479,0.0369,1.3567,0.8598,1.0549,0.7808,0.8755,0,1.0807
"PA14_53730",-0.6821,4.3992,0.7472,3.4943,1.1516,1.7518,4.7106,0.0841,1.7473,0.8792,6.1558,1.1487,2.4618,0,2.2415
"PA14_53780",-0.6745,1.0482,0.5573,0.9364,0.6324,0.2073,0.7045,0.5506,0.7065,0.2735,1.2749,1.1056,1.3971,0,0.1738
"PA14_53790",3.5493,-2.5675,1.6585,2.0677,-3.0846,4.4125,-2.2569,-1.8633,1.8498,0.0927,-1.1862,-1.6628,1.9189,0,0.2982
"PA14_53800",-1.6042,-0.0951,-1.8554,-2.2424,-1.1974,-0.008,-0.2117,-1.322,-1.0844,0.0559,-1.2732,-1.9204,-0.651,0,-0.3716
"PA14_53810",-0.8638,-0.5348,-1.1099,-0.0729,0.1733,-0.9824,0.0465,0.4873,-0.5812,-1.0974,-0.601,-0.6996,-0.2072,0,0.5409
"PA14_53820",0.3573,-0.4884,-0.0057,1.2846,0.7319,-0.0875,-1.5977,0.2836,-1.4302,-1.3214,-0.3578,2.6295,-1.4498,0,4.5422
"PA14_53840",0.412,0.3979,-0.5678,0.1382,-0.6224,0.2716,-0.4284,-0.6368,5.5694,3.6626,0.3371,0.3698,0.4649,0,0.8278
"PA14_53850",-3.768,-2.1706,0.7363,3.4007,-3.9063,-4.5949,-2.5968,-2.2018,2.4084,-0.8522,-0.8876,-1.4867,0.4014,0,-0.3737
"PA14_53880",-0.6968,5.6927,0.0463,3.2015,1.2163,-1.3089,2.4711,-0.3728,-2.8187,-1.1788,1.9829,-1.9771,0.1833,0,-1.9004
"PA14_53890",-0.6229,1.2063,0.2148,1.2144,0.2407,-1.2006,0.381,-1.123,-1.1354,-2.1964,0.5943,-1.2565,-1.304,0,0.198
"PA14_53900",-17.8701,12.104,4.6846,-10.1527,-3.188,-6.1795,2.4905,-8.9989,-8.5672,-4.027,5.1548,-6.8617,-3.9702,0,-0.9234
"PA14_53910",-0.122,-0.0745,1.0711,-0.2094,0.304,0.2178,0.3581,0.4815,-0.2952,0.5284,0.899,-0.1035,0.8435,0,0.6517
"PA14_53920",-1.4369,-1.1033,-0.1542,0.9175,-0.8372,-0.7478,-1.3548,-1.4396,2,0.4111,0.2947,1.46,-0.7315,0,0.3366
"PA14_53940",-0.3449,-0.1916,-0.4694,0.0338,-0.4657,-0.478,-0.2949,-0.6862,0.1525,-0.5644,-0.4702,-0.2065,-0.2152,0,-0.3863
"PA14_53950",-0.3071,-0.9547,-0.084,0.0578,-0.5431,-0.0087,0.1099,0.0479,0.2404,-0.6179,-0.7479,-0.0838,-0.554,0,-0.4474
