"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_21750",0.8046,0.2527,0.2918,0.545,0.699,-0.787,-0.4508,-0.0049,-1.0342,-0.6733,0.0469,0.407,-0.7119,-0.201,-0.0301
"PA14_21760",-0.143,-0.8796,-0.3772,0.2063,0.308,-0.0015,1.2683,0.145,1.4787,0.0022,-0.654,0.5518,0.483,-0.407,0.8678
"PA14_21770",0.5644,-0.5974,-0.1363,-0.2503,0.6285,0.3432,1.6393,-0.3217,0.542,0.2353,-1.7748,0.7666,-1.3024,-0.3342,-0.3697
"PA14_21780",-1.7795,0.9506,0.7509,-1.5925,-0.8596,1.8864,0.534,-0.4147,-0.4214,0.9362,0.2299,-0.0737,-0.0084,-0.2166,0.5826
"PA14_21790",1.0055,-1.4138,0.5142,0.5227,-0.7796,-0.2659,-0.1165,-0.1462,0.3826,0.5034,-0.1115,0.2016,-0.6627,-0.2141,-0.038
"PA14_21820",-0.1216,1.3493,-0.8623,0.4632,-1.4781,-0.577,-0.1358,-0.5282,1.5912,-0.3832,1.6954,-0.3462,-0.9874,0.6438,-0.2972
"PA14_21830",-0.6532,-0.054,0.3763,-0.8745,-0.7269,1.445,-0.9873,-0.083,1.2542,0.5694,0.8844,0.4388,-0.6968,-0.2014,0.2005
"PA14_21840",0.5466,-0.3051,1.567,0.3092,-0.7095,0.091,-1.6684,-0.4425,-0.2776,-0.2228,-0.2199,0.1107,0.7792,0.1598,-0.8656
"PA14_21850",-1.0334,0.4533,0.442,-1.136,-0.0136,-0.3996,-0.6366,-0.4264,0.631,1.6173,-0.8087,-1.589,-0.1163,-0.2413,0.241
"PA14_21860",-0.2887,0.1824,0.2226,-0.4094,1.1284,0.6362,0.308,-0.6472,-0.1561,-0.108,1.1741,0.7183,-0.2654,-0.1195,-0.281
"PA14_21870",0.1896,-1.3357,0.1203,1.2419,-0.0059,1.9115,0.9786,-0.3279,0.5124,1.3592,-1.2573,0.2518,0.6718,-0.2701,0.1565
"PA14_21880",0.026,0.1948,-0.655,1.2037,-0.2291,0.8688,1.0907,-0.8362,1.3075,1.3475,0.1579,0.421,0.623,0.0497,-0.2113
"PA14_21890",0.8662,0.0232,1.0541,-0.5826,-0.8313,0.1992,-0.1494,-0.3217,0.0347,1.5859,0.0852,1.0449,-0.4601,0.5095,0.0939
"PA14_21900",0.0329,0.7479,-0.1303,1.2641,-0.6503,-0.3666,-0.3129,-0.5408,1.2409,-1.3258,-0.0318,1.3663,-0.7752,0.4474,-1.053
"PA14_21910",-0.4627,1.0292,-1.1417,-0.35,0.0857,1.4933,-1.3112,0.6187,1.5139,-2.2561,-0.4736,-0.0279,-0.1242,-0.5782,0.2988
"PA14_21920",-0.8904,-1.4048,0.2046,-0.2669,0.345,0.4395,0.4339,-0.0096,0.0208,-0.1606,-0.358,1.3347,0.6828,-1.1999,0.5758
"PA14_21930",-0.6178,0.7636,-0.2644,-1.2895,-1.2895,0.0372,-0.6473,0.4505,-1.2895,0.2656,-0.6751,1.0332,0.3219,0.6086,0.0379
"PA14_21940",0.1353,0.5798,-0.1519,-1.2507,-0.2425,-0.3876,-0.8151,-0.7722,0.4272,-0.4762,0.4408,-0.3817,0.1154,0.0574,-1.2507
"PA14_21980",-0.4084,0.4076,-0.856,-0.748,-0.341,0.6745,-0.7464,-1.224,0.5134,0.4379,0.5588,0.0049,0.4,0.8189,0.2749
"PA14_21990",-0.6489,-0.6619,-0.2153,-0.523,-0.37,0.4669,-0.5788,1.1906,0.6376,0.3354,-0.524,-0.5821,0.8956,-0.5491,-0.5816
"PA14_22000",-0.2392,-1.0961,0.0204,-1.5584,0.2532,-0.0551,0.0325,1.0463,-0.0832,1.269,-0.0683,-1.2887,0.6271,-0.5386,-1.2977
"PA14_22010",1.0124,-0.1486,-0.298,1.2805,0.6813,0.5084,1.1963,-0.2252,0.2895,-0.3394,-0.2799,0.9331,-0.9596,-0.9982,0.6896
"PA14_22020",-0.2891,0.6876,0.0049,1.9872,0.4268,0.459,0.9493,-1.5458,-0.1618,-0.4114,0.922,1.1945,-0.6412,-0.1715,0.1164
"PA14_22040",-0.354,-0.1957,-0.4024,0.7145,0.2764,0.4517,0.611,-0.9998,0.8334,0.4629,-0.7939,0.8413,0.8859,-0.5108,1.3007
"PA14_22050",-1.0411,-0.3281,0.716,-0.7814,-0.4841,0.0506,-0.496,0.0169,0.3432,0.5928,-0.6114,-0.4028,0.3964,0.2698,-0.6744
"PA14_22060",-0.6399,1.2642,0.0847,-0.8846,0.4216,0.805,-0.482,-0.6745,0.2229,1.4358,0.6138,-0.2678,0.8466,0.3344,0.7056
"PA14_22075",-0.2167,0.9658,0.0089,-0.8119,0,0.48,-0.1481,-0.1995,-0.381,1.2808,0.3782,-0.4848,0.2292,0.0862,1.1336
"PA14_22080",0.7054,-0.2132,-0.2325,0.8195,-1.1984,-1.1841,-0.2297,-0.53,1.4619,-1.0045,1.1925,0.6438,-0.1715,-0.0561,-0.5832
